zone_id,zone_name,max_predicted_demand_kw,max_demand_hour,avg_headroom_kw,peak_risk_hours_count,recommended_charging_window,typical_peak_window,high_priority
Z001,Whitefield,63.36,21,1436.9,0,00:00-04:00,18:00-23:00,True
Z002,Koramangala,34.02,21,1598.69,0,02:00-06:00,19:00-22:00,True
Z003,HSR Layout,11.71,21,1652.09,0,00:00-04:00,18:00-22:00,False
Z004,Indiranagar,25.67,21,1117.06,0,00:00-04:00,19:00-22:00,False
Z005,Electronic City,32.2,20,2585.79,0,01:00-05:00,17:00-23:00,True
Z006,Marathahalli,67.11,21,1324.6,0,00:00-04:00,18:00-22:00,True
Z007,Bellandur,32.98,21,2038.27,0,01:00-05:00,18:00-22:00,False
Z008,Sarjapur Road,68.22,21,1146.15,0,01:00-05:00,18:00-22:00,True
Z009,BTM Layout,12.66,22,1053.83,0,02:00-06:00,18:00-22:00,False
Z010,Jayanagar,32.23,21,970.24,0,02:00-06:00,18:00-22:00,False
Z011,Banashankari,28.53,21,653.13,0,00:00-04:00,18:00-22:00,False
Z012,JP Nagar,28.87,21,499.44,0,00:00-04:00,18:00-22:00,False
Z013,Hebbal,9.27,21,1534.51,0,00:00-04:00,17:00-23:00,False
Z014,Yelahanka,41.21,21,992.32,0,02:00-06:00,18:00-22:00,False
Z015,Bagalur,23.66,21,1149.07,0,00:00-04:00,18:00-23:00,True
Z016,KR Puram,10.23,21,1965.75,0,00:00-04:00,18:00-22:00,False
Z017,Mahadevapura,34.52,21,2508.24,0,00:00-04:00,15:00-23:00,True
Z018,Hoskote,5.14,21,866.43,0,01:00-05:00,15:00-23:00,False
Z019,Rajajinagar,30.72,21,948.3,0,02:00-06:00,18:00-22:00,False
Z020,Malleswaram,30.42,21,1279.33,0,01:00-05:00,18:00-23:00,True
Z021,Yeshwanthpur,8.42,21,1786.94,0,02:00-06:00,19:00-22:00,False
Z022,Tumkur Road,4.01,21,976.84,0,01:00-05:00,15:00-23:00,False
Z023,Peenya,2.91,21,1862.67,0,01:00-05:00,18:00-23:00,False
Z024,Dasarahalli,7.21,21,2443.21,0,00:00-04:00,18:00-23:00,False
Z025,Kengeri,42.79,21,871.3,0,00:00-04:00,18:00-22:00,False
Z026,Uttarahalli,20.91,21,979.44,0,00:00-04:00,18:00-22:00,False
Z027,Mysore Road,2.93,21,798.62,0,00:00-04:00,15:00-23:00,False
Z028,Bannerghatta Road,3.6,20,1603.75,0,01:00-05:00,17:00-23:00,False
Z029,Electronic City Phase 2,3.39,21,2523.39,0,00:00-04:00,15:00-23:00,False
Z030,Bommanahalli,35.34,21,945.01,0,01:00-05:00,18:00-22:00,False
Z031,Devanahalli,2.97,21,1364.54,0,01:00-05:00,18:00-23:00,False
Z032,Nelamangala,6.25,21,1453.8,0,02:00-06:00,18:00-23:00,False
Z033,Anekal,6.22,20,2659.75,0,01:00-05:00,15:00-23:00,False
Z034,Varthur,26.94,21,971.79,0,00:00-04:00,18:00-22:00,False
Z035,Domlur,15.13,20,1160.87,0,01:00-05:00,18:00-23:00,False
