feature,importance
lag_168h,0.7032672
lag_1h,0.13585229
lag_24h,0.07762937
hour,0.023759527
demand_to_capacity_ratio,0.013268181
ev_count_current,0.010347327
feeder_capacity_kw,0.007430997
land_use_encoded,0.006783815
grid_total_load_kw,0.00598241
rolling_mean_24h,0.004501134
rolling_mean_3h,0.0025348435
headroom_kw,0.0024234273
day_of_week,0.002159377
is_peak_hour,0.0013144497
ev_growth_rate_monthly,0.0007878551
season,0.0006118779
is_weekend,0.00045801926
month,0.0002504636
rolling_std_24h,0.0002391207
is_morning_ramp,0.00016169141
temperature_celsius,0.00012386355
is_holiday,0.000112743495
