zone_id,mae,rmse,r2
Z028,0.06900443707742998,0.09429418227304538,0.9970450425827019
Z023,0.07256065735413182,0.09779268909210558,0.9971340740182909
Z029,0.07460794130640645,0.10157994860914939,0.9980918590815611
Z027,0.08344724004467328,0.11527733656144659,0.9963727102617986
Z022,0.08689113904391566,0.11831794862659287,0.9985804536633168
Z031,0.09280272781848907,0.12604445931528038,0.995958774197003
Z013,0.09645432896511527,0.1333814118431324,0.9989232889686677
Z033,0.09763640340297454,0.15246658833855833,0.9990798273471017
Z021,0.1137435043434943,0.15915864943573926,0.9986321418309472
Z003,0.11392908573791542,0.16321236027803848,0.9989011216269894
Z026,0.12091448799256357,0.19166797161956503,0.9994661285216239
Z016,0.12228685624496913,0.17905327781965216,0.9983636899782327
Z032,0.12737077691862664,0.1775807470647759,0.998505009378757
Z009,0.1364559913899309,0.18584808042697887,0.9990434858897546
Z019,0.13805689948861316,0.22450364534115153,0.9995909896529541
Z034,0.14235889337396115,0.23649617046052412,0.9995470350367478
Z018,0.14302307004249223,0.2225027685372949,0.9969449470749367
Z024,0.1433015040204089,0.2070172558324995,0.99864737480012
Z010,0.16250603786078827,0.30539045292539585,0.9992832607316063
Z030,0.19672580312657098,0.35102216370983114,0.9991767236126662
Z014,0.2007535154973307,0.3630646825514826,0.9990991806067792
Z035,0.20429614895133558,0.30315956179653675,0.999276141756015
Z012,0.22925105203864402,0.43601293548700276,0.9971784101304162
Z011,0.27071040208621683,0.5412709236520975,0.9968852892445599
Z007,0.31388032420989015,0.5338453843289743,0.9989708265684534
Z025,0.3153346753633151,0.6544575301363584,0.9976562250753727
Z004,0.34455199721038976,0.6222948444396396,0.9987552353581326
Z020,0.3540036520393945,0.6330660667552175,0.9988718015844331
Z002,0.37254888657600654,0.5959124641378913,0.9989639033592421
Z005,0.43832790067118976,0.7124093111564999,0.999447691655982
Z015,0.5308699543758105,1.3020329240000743,0.9959762244878899
Z017,0.5716237109450885,0.952003213320133,0.9991044078228201
Z001,0.7040880048915902,1.5418155916925727,0.9969341601130076
Z008,0.7776094221299693,1.743622270513185,0.9945377865333713
Z006,0.7839616145882554,1.7969739325076137,0.996236917350091
